,City,Lat,Lng,Max Temp ˚F,Humidity,Cloudiness,Wind Speed,Country,Date
68,Bowen,-20.0167,148.2333,71.6,88,75,4.61,AU,2021-04-20 18:33:36
69,Bredasdorp,-34.5322,20.0403,55.4,94,28,2.3,ZA,2021-04-20 18:28:23
70,Broken Hill,-31.95,141.4333,46.4,71,0,8.05,AU,2021-04-20 18:32:29
71,Broome,42.2506,-75.833,53.01,76,90,9.22,US,2021-04-20 18:28:50
72,Brownfield,33.1812,-102.2744,46.0,52,90,17.27,US,2021-04-20 18:32:31
73,Brownsville,25.9018,-97.4975,80.6,41,20,8.05,US,2021-04-20 18:28:13
74,Bryan,30.6744,-96.37,79.0,41,1,6.91,US,2021-04-20 18:33:24
75,Buala,-8.145,159.5921,80.67,81,88,3.13,SB,2021-04-20 18:30:26
76,Buba,11.5833,-15.0,85.59,47,3,11.92,GW,2021-04-20 18:34:50
77,Bubaque,11.2833,-15.8333,78.48,72,13,18.23,GW,2021-04-20 18:29:17
78,Bunia,1.5667,30.25,65.14,91,97,1.74,CD,2021-04-20 18:28:12
79,Buraidah,26.326,43.975,82.4,28,0,4.61,SA,2021-04-20 18:29:52
80,Burnie,-41.0667,145.9167,37.99,83,0,1.99,AU,2021-04-20 18:32:25
81,Busselton,-33.65,115.3333,48.0,88,14,9.69,AU,2021-04-20 18:28:29
82,Butaritari,3.0707,172.7902,80.85,78,100,16.17,KI,2021-04-20 18:30:10
83,Bǝrdǝ,40.3744,47.1267,74.08,48,100,6.38,AZ,2021-04-20 18:34:19
84,Cabo San Lucas,22.8909,-109.9124,80.01,68,1,6.91,MX,2021-04-20 18:28:32
85,Cairns,-16.9167,145.7667,73.99,100,90,5.91,AU,2021-04-20 18:29:14
86,Calama,-22.4667,-68.9333,69.8,19,0,21.85,CL,2021-04-20 18:30:41
87,Calvinia,-31.4707,19.776,70.83,34,35,2.66,ZA,2021-04-20 18:31:28
88,Camacha,33.0833,-16.3333,66.2,68,20,8.05,PT,2021-04-20 18:28:29
89,Campoverde,-8.4753,-74.8058,87.8,62,40,6.91,PE,2021-04-20 18:34:52
90,Cap Malheureux,-19.9842,57.6142,77.0,83,100,3.0,MU,2021-04-20 18:28:53
