,City,Lat,Lng,Max Temp ˚F,Humidity,Cloudiness,Wind Speed,Country,Date
81,Buraidah,26.326,43.975,75.2,27,0,4.61,SA,1618517366
82,Burē,10.7,37.0667,66.2,51,93,6.2,ET,1618517406
83,Busselton,-33.65,115.3333,55.99,95,56,8.68,AU,1618517137
84,Butaritari,3.0707,172.7902,82.22,74,100,9.22,KI,1618517138
85,Buşayrā,30.7376,35.6078,64.49,25,100,4.0,JO,1618517452
86,Bāfq,31.6128,55.4107,68.88,37,0,6.35,IR,1618517403
87,Cabo San Lucas,22.8909,-109.9124,86.0,23,40,12.66,MX,1618517202
88,Cabra,37.4725,-4.4421,57.2,94,90,4.61,ES,1618517365
89,Calama,-22.4667,-68.9333,73.4,20,0,23.02,CL,1618517333
90,Callaway,30.153,-85.5699,73.0,78,40,10.36,US,1618517360
91,Caloundra,-26.8,153.1333,61.0,97,0,5.19,AU,1618517343
92,Campoverde,-8.4753,-74.8058,89.6,55,75,3.44,PE,1618517363
93,Cananea,30.95,-110.3,73.0,18,100,1.99,MX,1618517418
94,Cap Malheureux,-19.9842,57.6142,78.01,86,78,5.99,MU,1618517310
95,Cap-aux-Meules,47.3821,-61.8597,39.2,75,17,13.8,CA,1618517329
96,Cape Canaveral,28.4058,-80.6048,89.01,57,1,11.5,US,1618517327
97,Cape Coral,26.5629,-81.9495,84.0,57,1,13.8,US,1618517218
98,Cape Town,-33.9258,18.4232,66.2,72,0,18.41,ZA,1618516893
99,Caravelas,-17.7125,-39.2481,77.63,59,98,10.51,BR,1618517416
100,Carnarvon,-24.8667,113.6333,73.94,29,0,15.39,AU,1618517233
101,Castro,-24.7911,-50.0119,67.93,69,83,6.22,BR,1618517140
102,Cayenne,4.9333,-52.3333,82.4,78,90,10.36,GF,1618517064
103,Centralia,46.7162,-122.9543,71.01,34,1,8.05,US,1618517382
104,Champerico,14.3,-91.9167,93.2,52,40,9.22,GT,1618517331
105,Chapada dos Guimarães,-15.4606,-55.7497,86.0,54,40,4.61,BR,1618517420
106,Chebenki,51.9337,55.7077,44.6,61,0,6.71,RU,1618517347
107,Cherskiy,68.75,161.3,16.3,94,100,6.13,RU,1618517145
108,Chifeng,42.2683,118.9636,36.99,46,30,25.3,CN,1618517388
109,Chokurdakh,70.6333,147.9167,-20.85,100,65,1.28,RU,1618517221
110,Chui,-33.6971,-53.4616,69.03,87,100,4.56,UY,1618517144
111,Cidreira,-30.1811,-50.2056,73.29,69,100,13.04,BR,1618517151
112,Clyde River,70.4692,-68.5914,6.8,72,20,25.32,CA,1618517217
113,Coahuayana Viejo,18.7333,-103.6833,89.6,40,1,11.5,MX,1618517423
114,Coari,-4.085,-63.1414,84.16,76,96,0.83,BR,1618517401
115,Cockburn Town,21.4612,-71.1419,78.8,53,20,6.91,TC,1618517339
116,Codrington,-38.2667,141.9667,54.59,56,100,9.46,AU,1618517162
