fips,Year,County,City,TMC,Start_Lat,Start_Lng,Severity,Distance(mi),count
48021.0,2016,Bastrop,Smithville,402.0,60.037945,-194.30602299999998,4,0.01,2
48021.0,2016,Bastrop,Webberville,402.0,60.442516,-194.97209099999998,4,0.0,2
48021.0,2017,Bastrop,Bastrop,1005.0,271.177884,-875.9948119999999,24,7.83599993324,9
48021.0,2017,Bastrop,Cedar Creek,1255.0,181.00472,-585.122666,12,0.01,6
48021.0,2017,Bastrop,Del Valle,402.0,60.14349,-195.145142,4,0.02,2
48021.0,2017,Bastrop,Elgin,1608.0,303.26608100000004,-974.194937,23,4.640000047679999,10
48021.0,2017,Bastrop,Mc Dade,201.0,30.228903000000003,-97.179565,2,3.15000009537,1
48021.0,2017,Bastrop,Smithville,603.0,119.907118,-388.89842799999997,11,6.05000019073,4
48021.0,2017,Bastrop,Webberville,402.0,60.442379,-194.976562,4,0.029999999553,2
48021.0,2018,Bastrop,Bastrop,804.0,150.528525,-486.5702,12,0.44,5
48021.0,2018,Bastrop,Cedar Creek,1206.0,211.19099900000003,-682.6309679999999,16,8.036999947545,7
48021.0,2018,Bastrop,Del Valle,201.0,30.140881,-97.567482,2,0.699999988079,1
48021.0,2018,Bastrop,Elgin,2011.0,364.155613,-1168.9243079999999,27,2.7530000333799998,12
48021.0,2018,Bastrop,Webberville,402.0,60.448252999999994,-194.96601099999998,4,0.0,2
48021.0,2019,Bastrop,Bastrop,603.0,120.43815100000002,-389.416924,8,0.687,4
48021.0,2019,Bastrop,Cedar Creek,1809.0,271.264355,-877.614564,18,0.0,9
48021.0,2019,Bastrop,Dale,201.0,30.061411,-97.64179200000001,2,0.0,1
48021.0,2019,Bastrop,Del Valle,804.0,120.39417900000001,-390.34637399999997,8,0.0,4
48021.0,2019,Bastrop,Elgin,603.0,151.68147499999998,-486.96137600000003,13,0.5489999999999999,5
48021.0,2019,Bastrop,Paige,201.0,30.171064,-97.192642,2,0.0,1
48021.0,2019,Bastrop,Smithville,745.0,90.091761,-291.576446,7,0.0,3
48021.0,2020,Bastrop,Bastrop,643.0,120.546026,-389.39611399999995,9,21.9520003815,4
48021.0,2020,Bastrop,Cedar Creek,1451.0,271.410617,-877.558454,20,1.3679999999999999,9
48021.0,2020,Bastrop,Del Valle,201.0,60.190825000000004,-195.232795,4,0.278,2
48021.0,2020,Bastrop,Elgin,683.0,121.354922,-389.472296,8,0.036000000000000004,4
48021.0,2020,Bastrop,Mc Dade,202.0,30.28565,-97.246719,3,5.26000022888,1
48021.0,2020,Bastrop,Paige,0.0,30.21013,-97.1087,4,24.427,1
48023.0,2017,Baylor,Seymour,201.0,33.669968,-99.141251,2,0.0,1
48023.0,2018,Baylor,Seymour,643.0,100.727734,-297.821228,6,6.32999992371,3
48023.0,2019,Baylor,Seymour,402.0,100.61708300000001,-297.741605,6,0.41,3
